dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.457492,4.974077,0.000027,0.005333,0.533333,53.333333,0.017839
0.010000,0.457495,4.974077,0.000029,0.000265,-0.506859,-104.019255,0.017848
0.010000,0.457501,4.974077,0.000035,0.000596,0.033090,53.994936,0.017869
0.010000,0.457511,4.974077,0.000046,0.001059,0.046319,1.322906,0.017907
0.010000,0.457527,4.974078,0.000062,0.001588,0.052921,0.660200,0.017963
0.010000,0.458062,4.974087,0.000596,0.053455,5.186657,513.373579,0.018038
0.010000,0.459155,4.974107,0.001689,0.109312,5.585762,39.910452,0.018132
0.010000,0.460466,4.974131,0.003001,0.131174,2.186182,-339.957993,0.018244
0.010000,0.461996,4.974159,0.004531,0.153035,2.186098,-0.008363,0.018375
0.010000,0.463745,4.974191,0.006280,0.174896,2.186053,-0.004518,0.018525
0.010000,0.465712,4.974228,0.008248,0.196755,2.185991,-0.006143,0.018693
0.010000,0.467898,4.974269,0.010434,0.218615,2.185914,-0.007759,0.018880
0.010000,0.470302,4.974314,0.012839,0.240473,2.185820,-0.009355,0.019085
0.010000,0.472925,4.974365,0.015462,0.262331,2.185792,-0.002830,0.019309
0.010000,0.475766,4.974420,0.018304,0.284187,2.185607,-0.018494,0.019552
0.010000,0.478826,4.974480,0.021364,0.306043,2.185590,-0.001684,0.019813
0.010000,0.482104,4.974546,0.024643,0.327897,2.185418,-0.017251,0.020092
0.010000,0.485601,4.974616,0.028141,0.349750,2.185310,-0.010745,0.020390
0.010000,0.489317,4.974693,0.031857,0.371602,2.185186,-0.012371,0.020706
0.010000,0.493250,4.974775,0.035791,0.393452,2.185047,-0.013978,0.021041
0.010000,0.497402,4.974863,0.039945,0.415301,2.184891,-0.015564,0.021394
0.010000,0.501773,4.974957,0.044316,0.437149,2.184766,-0.012481,0.021765
0.010000,0.506362,4.975058,0.048906,0.458995,2.184578,-0.018865,0.022154
0.010000,0.511169,4.975166,0.053714,0.480839,2.184424,-0.015354,0.022561
0.010000,0.516194,4.975280,0.058741,0.502681,2.184223,-0.020154,0.022986
0.010000,0.521438,4.975402,0.063986,0.524522,2.184051,-0.017158,0.023429
0.010000,0.526900,4.975531,0.069450,0.546360,2.183863,-0.018781,0.023890
0.010000,0.532580,4.975668,0.075132,0.568197,2.183659,-0.020374,0.024369
0.010000,0.538479,4.975813,0.081032,0.590031,2.183440,-0.021938,0.024866
0.010000,0.544596,4.975967,0.087151,0.611863,2.183205,-0.023471,0.025380
0.010000,0.550931,4.976130,0.093488,0.633693,2.182995,-0.021063,0.025911
0.010000,0.557483,4.976301,0.100043,0.655521,2.182749,-0.024610,0.026461
0.010000,0.564255,4.976482,0.106816,0.677346,2.182519,-0.022999,0.027027
0.010000,0.571244,4.976673,0.113808,0.699168,2.182242,-0.027674,0.027611
0.010000,0.578451,4.976875,0.121018,0.720988,2.181988,-0.025379,0.028213
0.010000,0.585876,4.977086,0.128446,0.742805,2.181718,-0.026954,0.028831
0.010000,0.593519,4.977309,0.136092,0.764620,2.181434,-0.028490,0.029466
0.010000,0.601379,4.977544,0.143957,0.786431,2.181134,-0.029986,0.030119
0.010000,0.609458,4.977790,0.152039,0.808240,2.180875,-0.025828,0.030788
0.010000,0.617755,4.978048,0.160339,0.830045,2.180515,-0.036023,0.031473
0.010000,0.626269,4.978319,0.168858,0.851848,2.180252,-0.026330,0.032176
0.010000,0.635001,4.978603,0.177594,0.873646,2.179889,-0.036281,0.032895
0.010000,0.643950,4.978901,0.186549,0.895442,2.179566,-0.032262,0.033630
0.010000,0.653117,4.979213,0.195721,0.917234,2.179228,-0.033810,0.034381
0.010000,0.662502,4.979539,0.205111,0.939023,2.178875,-0.035312,0.035149
0.010000,0.672104,4.979881,0.214719,0.960808,2.178508,-0.036765,0.035932
0.010000,0.681923,4.980238,0.224545,0.982590,2.178153,-0.035490,0.036732
0.010000,0.691960,4.980611,0.234589,1.004367,2.177769,-0.038363,0.037547
0.010000,0.702214,4.981000,0.244850,1.026141,2.177380,-0.038883,0.038378
0.010000,0.712685,4.981406,0.255330,1.047911,2.176975,-0.040574,0.039224
0.010000,0.723373,4.981831,0.266026,1.069677,2.176580,-0.039460,0.040085
0.010000,0.734279,4.982273,0.276941,1.091438,2.176170,-0.040971,0.040962
0.010000,0.745401,4.982734,0.288073,1.113196,2.175746,-0.042427,0.041854
0.010000,0.756741,4.983214,0.299422,1.134949,2.175308,-0.043827,0.042760
0.010000,0.768297,4.983713,0.310989,1.156698,2.174856,-0.045173,0.043681
0.010000,0.780070,4.984233,0.322774,1.178442,2.174413,-0.044271,0.044617
0.010000,0.792059,4.984774,0.334775,1.200181,2.173953,-0.045994,0.045567
0.010000,0.804266,4.985337,0.346995,1.221916,2.173487,-0.046607,0.046532
0.010000,0.816688,4.985922,0.359431,1.243646,2.172997,-0.049053,0.047510
0.010000,0.829327,4.986529,0.372085,1.265371,2.172513,-0.048321,0.048502
0.010000,0.842183,4.987159,0.384956,1.287091,2.172016,-0.049720,0.049508
0.010000,0.855255,4.987814,0.398044,1.308806,2.171506,-0.051058,0.050528
0.010000,0.868542,4.988492,0.411349,1.330516,2.170982,-0.052335,0.051560
0.010000,0.882046,4.989196,0.424871,1.352221,2.170478,-0.050384,0.052606
0.010000,0.895766,4.989926,0.438610,1.373920,2.169911,-0.056715,0.053665
0.010000,0.909702,4.990682,0.452566,1.395614,2.169396,-0.051557,0.054737
0.010000,0.923853,4.991465,0.466739,1.417302,2.168819,-0.057684,0.055821
0.010000,0.938220,4.992276,0.481129,1.438985,2.168260,-0.055911,0.056917
