dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,0.540543,3.241581,0.001500,0.300000,30.000000,3000.000000,6.227716
0.010000,0.546295,3.241264,0.007261,0.576068,27.606774,-239.322590,6.228563
0.010000,0.557806,3.240644,0.018788,1.152728,57.666017,3005.924277,6.230236
0.010000,0.575089,3.239750,0.036094,1.730575,57.784687,11.867007,6.232693
0.010000,0.598163,3.238620,0.059196,2.310205,57.963055,17.836759,6.235870
0.010000,0.625610,3.237371,0.086671,2.747491,43.728592,-1423.446296,6.239498
0.010000,0.654554,3.236159,0.115640,2.896941,14.944935,-2878.365608,6.243145
0.010000,0.683551,3.235048,0.144659,2.901918,0.497716,-1444.721974,6.246616
0.010000,0.712603,3.234034,0.173728,2.906902,0.498416,0.070031,6.249911
0.010000,0.741707,3.233111,0.202847,2.911892,0.498990,0.057420,6.253029
0.010000,0.770864,3.232275,0.232016,2.916886,0.499450,0.046011,6.255970
0.010000,0.800073,3.231520,0.261235,2.921884,0.499817,0.036641,6.258734
0.010000,0.829334,3.230843,0.290504,2.926885,0.500098,0.028117,6.261322
0.010000,0.858647,3.230238,0.319823,2.931889,0.500306,0.020761,6.263732
0.010000,0.888011,3.229700,0.349192,2.936893,0.500450,0.014478,6.265965
0.010000,0.917426,3.229224,0.378611,2.941898,0.500543,0.009219,6.268021
0.010000,0.946892,3.228805,0.408080,2.946904,0.500593,0.005016,6.269900
0.010000,0.976409,3.228439,0.437599,2.951910,0.500609,0.001608,6.271602
0.010000,1.005976,3.228119,0.467168,2.956916,0.500599,-0.001000,6.273127
0.010000,1.035594,3.227842,0.496787,2.961922,0.500569,-0.002944,6.274474
0.010000,1.065262,3.227601,0.526456,2.966927,0.500528,-0.004106,6.275645
0.010000,1.094981,3.227392,0.556176,2.971932,0.500481,-0.004689,6.276638
0.010000,1.124750,3.227210,0.585945,2.976937,0.500432,-0.004911,6.277454
0.010000,1.154569,3.227049,0.615764,2.981940,0.500386,-0.004646,6.278093
0.010000,1.184438,3.226904,0.645634,2.986944,0.500345,-0.004036,6.278555
0.010000,1.214357,3.226770,0.675553,2.991947,0.500314,-0.003170,6.278840
0.010000,1.244326,3.226642,0.705523,2.996950,0.500294,-0.001987,6.278948
0.010000,1.274345,3.226514,0.735542,3.001953,0.500285,-0.000855,6.278879
0.010000,1.304415,3.226382,0.765612,3.006956,0.500289,0.000396,6.278633
0.010000,1.334534,3.226238,0.795732,3.011959,0.500305,0.001619,6.278210
0.010000,1.364703,3.226080,0.825901,3.016962,0.500333,0.002792,6.277610
0.010000,1.394922,3.225900,0.856121,3.021966,0.500370,0.003695,6.276832
0.010000,1.425191,3.225694,0.886391,3.026970,0.500414,0.004327,6.275878
0.010000,1.455510,3.225455,0.916710,3.031975,0.500461,0.004714,6.274746
0.010000,1.485879,3.225180,0.947080,3.036980,0.500507,0.004667,6.273438
0.010000,1.516297,3.224861,0.977500,3.041985,0.500549,0.004155,6.271952
0.010000,1.546765,3.224494,1.007970,3.046991,0.500580,0.003128,6.270289
0.010000,1.577282,3.224073,1.038490,3.051997,0.500592,0.001206,6.268449
0.010000,1.607848,3.223592,1.069060,3.057003,0.500581,-0.001106,6.266431
0.010000,1.638463,3.223046,1.099680,3.062008,0.500538,-0.004310,6.264237
0.010000,1.669127,3.222429,1.130350,3.067013,0.500454,-0.008370,6.261865
0.010000,1.699839,3.221735,1.161070,3.072016,0.500320,-0.013469,6.259317
0.010000,1.730600,3.220959,1.191840,3.077017,0.500125,-0.019448,6.256591
